pdb_id;organism_scientific_name;organism_synonyms;rank;genus;superkingdom;assembly_composition;assembly_type;entity_id
7qvp;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;162-mer;4
6i7o;Saccharomyces cerevisiae;Saccharomyces Italicus,Saccharomyces Capensis,Saccharomyces Cerevisiae (Baker'S Yeast),Brewer'S Yeast,Mycoderma Cerevisiae,Saccharomyces Oviformis,S. Cerevisiae,Yeasx,Baker'S Yeast,Saccharomyces Cerevisiae,Saccharomyces Uvarum Var. Melibiosus,Candida Robusta,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Saccharomyces;Eukaryota;RNA/protein complex;163-mer;80
6i7o;Saccharomyces cerevisiae;Saccharomyces Italicus,Saccharomyces Capensis,Saccharomyces Cerevisiae (Baker'S Yeast),Brewer'S Yeast,Mycoderma Cerevisiae,Saccharomyces Oviformis,S. Cerevisiae,Yeasx,Baker'S Yeast,Saccharomyces Cerevisiae,Saccharomyces Uvarum Var. Melibiosus,Candida Robusta,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Saccharomyces;Eukaryota;RNA/protein complex;163-mer;81
6i7o;Saccharomyces cerevisiae;Saccharomyces Italicus,Saccharomyces Capensis,Saccharomyces Cerevisiae (Baker'S Yeast),Brewer'S Yeast,Mycoderma Cerevisiae,Saccharomyces Oviformis,S. Cerevisiae,Yeasx,Baker'S Yeast,Saccharomyces Cerevisiae,Saccharomyces Uvarum Var. Melibiosus,Candida Robusta,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Saccharomyces;Eukaryota;RNA/protein complex;163-mer;82
6i7o;Saccharomyces cerevisiae;Saccharomyces Italicus,Saccharomyces Capensis,Saccharomyces Cerevisiae (Baker'S Yeast),Brewer'S Yeast,Mycoderma Cerevisiae,Saccharomyces Oviformis,S. Cerevisiae,Yeasx,Baker'S Yeast,Saccharomyces Cerevisiae,Saccharomyces Uvarum Var. Melibiosus,Candida Robusta,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Saccharomyces;Eukaryota;RNA/protein complex;163-mer;83
5tgm;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;164-mer;89
3j0q;Oryctolagus cuniculus;New Zealand Rabbit,Rabbit,Oryctolagus Cuniculus (Rabbit),European Rabbit,Oryctolagus Cuniculus,Japanese White Rabbit,Rabit,Domestic Rabbit,Lepus Cuniculus,Rabbits,Oryctolagus cuniculus,Oryctolagus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Oryctolagus;Eukaryota;RNA/protein complex;21-mer;18
5zeu;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;22-mer;15
8wid;Mycolicibacterium smegmatis MC2 155;Mycolicibacterium Smegmatis (Strain Atcc 700084 / Mc(2)155),Mycolicibacterium Smegmatis (Strain Atcc 700084 / Mc(2)155) (Mycobacterium Smegmatis),Mycobacterium Smegmatis 'Mc2 155',Mycobacterium Smegmatis Mc2 155,Mycs2,Mycolicibacterium Smegmatis Mc2 155,Mycobacterium Smegmatis,Mycolicibacterium smegmatis,Mycolicibacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Mycolicibacterium;Bacteria;RNA/protein complex;23-mer;2
6dti;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;23-mer;22
4jya;synthetic construct;Artificial Sequence,Synthetic Oligonucleotides,Primer,Synthetic,Artificial Oligonucleotide,Synthetic Construct,Artificial,Artificial Gene,Synthetic Constructs,Synthetic Dna,synthetic construct;species;;;RNA/protein complex;23-mer;23
3t1y;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;23-mer;23
4gkk;synthetic construct;Artificial Sequence,Synthetic Oligonucleotides,Primer,Synthetic,Artificial Oligonucleotide,Synthetic Construct,Artificial,Artificial Gene,Synthetic Constructs,Synthetic Dna,synthetic construct;species;;;RNA/protein complex;23-mer;23
3t1h;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;23-mer;23
4gkj;synthetic construct;Artificial Sequence,Synthetic Oligonucleotides,Primer,Synthetic,Artificial Oligonucleotide,Synthetic Construct,Artificial,Artificial Gene,Synthetic Constructs,Synthetic Dna,synthetic construct;species;;;RNA/protein complex;23-mer;23
4jv5;synthetic construct;Artificial Sequence,Synthetic Oligonucleotides,Primer,Synthetic,Artificial Oligonucleotide,Synthetic Construct,Artificial,Artificial Gene,Synthetic Constructs,Synthetic Dna,synthetic construct;species;;;RNA/protein complex;23-mer;23
6mpf;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;23-mer;23
6mpi;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;23-mer;22
6mkn;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;23-mer;22
1xnq;;;;;;RNA/protein complex;23-mer;2
1xnr;;;;;;RNA/protein complex;23-mer;2
7wts;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;23-mer;18
5lmu;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;24-mer;24
5o5j;Mycolicibacterium smegmatis MC2 155;Mycolicibacterium Smegmatis (Strain Atcc 700084 / Mc(2)155),Mycolicibacterium Smegmatis (Strain Atcc 700084 / Mc(2)155) (Mycobacterium Smegmatis),Mycobacterium Smegmatis 'Mc2 155',Mycobacterium Smegmatis Mc2 155,Mycs2,Mycolicibacterium Smegmatis Mc2 155,Mycobacterium Smegmatis,Mycolicibacterium smegmatis,Mycolicibacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Mycolicibacterium;Bacteria;RNA/protein complex;24-mer;22
6sv4;Saccharomyces cerevisiae;Saccharomyces Italicus,Saccharomyces Capensis,Saccharomyces Cerevisiae (Baker'S Yeast),Brewer'S Yeast,Mycoderma Cerevisiae,Saccharomyces Oviformis,S. Cerevisiae,Yeasx,Baker'S Yeast,Saccharomyces Cerevisiae,Saccharomyces Uvarum Var. Melibiosus,Candida Robusta,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Saccharomyces;Eukaryota;RNA/protein complex;242-mer;82
6sv4;Saccharomyces cerevisiae;Saccharomyces Italicus,Saccharomyces Capensis,Saccharomyces Cerevisiae (Baker'S Yeast),Brewer'S Yeast,Mycoderma Cerevisiae,Saccharomyces Oviformis,S. Cerevisiae,Yeasx,Baker'S Yeast,Saccharomyces Cerevisiae,Saccharomyces Uvarum Var. Melibiosus,Candida Robusta,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Saccharomyces;Eukaryota;RNA/protein complex;242-mer;80
6sv4;Saccharomyces cerevisiae;Saccharomyces Italicus,Saccharomyces Capensis,Saccharomyces Cerevisiae (Baker'S Yeast),Brewer'S Yeast,Mycoderma Cerevisiae,Saccharomyces Oviformis,S. Cerevisiae,Yeasx,Baker'S Yeast,Saccharomyces Cerevisiae,Saccharomyces Uvarum Var. Melibiosus,Candida Robusta,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Saccharomyces;Eukaryota;RNA/protein complex;242-mer;81
5lmr;Thermus thermophilus HB8;Thermus Thermophilus Atcc 27634,Thet8,Thermus Thermophilus (Strain Atcc 27634 / Dsm 579 / Hb8),Thermus Thermophilus Str. Hb8,Thermus Thermophilus Strain Hb8,Thermus Thermophilus Hb8,Thermus thermophilus,Thermus,Thermaceae,Thermales,Deinococci,Deinococcota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Thermus;Bacteria;RNA/protein complex;25-mer;25
5lmq;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;25-mer;25
5lmt;Thermus thermophilus HB8;Thermus Thermophilus Atcc 27634,Thet8,Thermus Thermophilus (Strain Atcc 27634 / Dsm 579 / Hb8),Thermus Thermophilus Str. Hb8,Thermus Thermophilus Strain Hb8,Thermus Thermophilus Hb8,Thermus thermophilus,Thermus,Thermaceae,Thermales,Deinococci,Deinococcota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Thermus;Bacteria;RNA/protein complex;25-mer;25
5lms;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;25-mer;25
6o7k;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;25-mer;24
1jgp;;;;;;RNA/protein complex;25-mer;2
1jgp;;;;;;RNA/protein complex;25-mer;3
1jgq;;;;;;RNA/protein complex;25-mer;2
1jgq;;;;;;RNA/protein complex;25-mer;3
1jgo;;;;;;RNA/protein complex;25-mer;2
1jgo;;;;;;RNA/protein complex;25-mer;3
5me1;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;26-mer;26
5lmv;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;26-mer;25
5me0;Escherichia coli K-12;Ecoli,Escherichia Coli (Strain K12),Escherichia Coli K-12,Escherichia Coli K12,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;26-mer;26
8wic;Mycolicibacterium smegmatis MC2 155;Mycolicibacterium Smegmatis (Strain Atcc 700084 / Mc(2)155),Mycolicibacterium Smegmatis (Strain Atcc 700084 / Mc(2)155) (Mycobacterium Smegmatis),Mycobacterium Smegmatis 'Mc2 155',Mycobacterium Smegmatis Mc2 155,Mycs2,Mycolicibacterium Smegmatis Mc2 155,Mycobacterium Smegmatis,Mycolicibacterium smegmatis,Mycolicibacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Mycolicibacterium;Bacteria;RNA/protein complex;29-mer;29
8qu1;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;30-mer;2
3j0o;Oryctolagus cuniculus;New Zealand Rabbit,Rabbit,Oryctolagus Cuniculus (Rabbit),European Rabbit,Oryctolagus Cuniculus,Japanese White Rabbit,Rabit,Domestic Rabbit,Lepus Cuniculus,Rabbits,Oryctolagus cuniculus,Oryctolagus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Oryctolagus;Eukaryota;RNA/protein complex;30-mer;25
6qul;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;31-mer;1
6yhs;Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841;Acib2,Acinetobacter Baumannii (Strain Atcc 19606 / Dsm 30007 / Jcm 6841 / Ccug 19606 / Cip 70.34 / Nbrc 109757 / Ncimb 12457 / Nctc 12156 / 81),Acinetobacter Baumannii Cip 70.34,Acinetobacter Baumannii Atcc 19606 = Cip 70.34 = Jcm 6841,Acinetobacter Baumannii Atcc 19606,Acinetobacter Baumannii Jcm 6841,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Acinetobacter;Bacteria;RNA/protein complex;31-mer;3
6g4w;Homo sapiens;Homo Sapiens (Human),Human,Homo Sapiens,Homo sapiens,Homo,Homininae,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,subfamily,family,order,class,phylum,kingdom,superkingdom;Homo;Eukaryota;RNA/protein complex;31-mer;29
1qvf;synthetic construct;Artificial Sequence,Synthetic Oligonucleotides,Primer,Synthetic,Artificial Oligonucleotide,Synthetic Construct,Artificial,Artificial Gene,Synthetic Constructs,Synthetic Dna,synthetic construct;species;;;RNA/protein complex;31-mer;3
7zhg;Pyrococcus abyssi GE5;Pyrococcus Abyssi Ge5,Pyrococcus Abyssi Strain Ge5,Pyrab,Pyrococcus Abyssi Str. Orsay,Pyrococcus Abyssi Str. Ge5,Pyrococcus Abyssi (Strain Ge5 / Orsay),Pyrococcus abyssi,Pyrococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,Archaea;species,genus,family,order,class,phylum,superkingdom,species,genus,family,order,class,phylum,superkingdom;Pyrococcus;Archaea;RNA/protein complex;31-mer;31
7zod;Escherichia coli;E. Coli,Escherichia Coli,Ecolx,Bacterium 10a,Escherichia Sp. 3_2_53faa,Bacillus Coli,Bacterium Coli,Bacterium Coli Commune,Bacterium E3,Achromobacter Sp. Atcc 35328,Escherichia/Shigella Coli,Enterococcus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Escherichia;Bacteria;RNA/protein complex;31-mer;29
4v19;Sus scrofa;Sus Scrofa,Pigs,Pig,Wild Boar,Sus Scrofa (Pig),Swine,Sus scrofa,Sus,Suidae,Artiodactyla,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Sus;Eukaryota;RNA/protein complex;32-mer;12
4v19;Sus scrofa;Sus Scrofa,Pigs,Pig,Wild Boar,Sus Scrofa (Pig),Swine,Sus scrofa,Sus,Suidae,Artiodactyla,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Sus;Eukaryota;RNA/protein complex;32-mer;13
3j0l;Oryctolagus cuniculus;New Zealand Rabbit,Rabbit,Oryctolagus Cuniculus (Rabbit),European Rabbit,Oryctolagus Cuniculus,Japanese White Rabbit,Rabit,Domestic Rabbit,Lepus Cuniculus,Rabbits,Oryctolagus cuniculus,Oryctolagus,Leporidae,Lagomorpha,Mammalia,Chordata,Metazoa,Eukaryota;species,genus,family,order,class,phylum,kingdom,superkingdom;Oryctolagus;Eukaryota;RNA/protein complex;32-mer;27
6ysi;Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841;Acib2,Acinetobacter Baumannii (Strain Atcc 19606 / Dsm 30007 / Jcm 6841 / Ccug 19606 / Cip 70.34 / Nbrc 109757 / Ncimb 12457 / Nctc 12156 / 81),Acinetobacter Baumannii Cip 70.34,Acinetobacter Baumannii Atcc 19606 = Cip 70.34 = Jcm 6841,Acinetobacter Baumannii Atcc 19606,Acinetobacter Baumannii Jcm 6841,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Acinetobacter;Bacteria;RNA/protein complex;32-mer;29
8s1p;Bacillus subtilis subsp. subtilis str. 168;Bacillus Subtilis Subsp. Subtilis 168,Bacillus Subtilis 168,Bacillus Subtilis Subsp. Subtilis Str. 168,Bacillus Subtilis (Strain 168),Bacsu,Bacillus Subtilis Subsp. Subtilis Str. Bgsc 1a700,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria;species,genus,family,order,class,phylum,superkingdom;Bacillus;Bacteria;RNA/protein complex;32-mer;29
